id,bank_name,city,state,cert,acquiring_institution,closing_date,fund
297,Horizon Bank,Bradenton,FL,35061,Bank of the Ozarks,2010-09-10,10286
298,Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,2010-08-20,10285
299,Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,2010-08-20,10282
300,Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.",2010-08-20,10278
301,Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.",2010-08-20,10283
302,ShoreBank,Chicago,IL,15640,Urban Partnership Bank,2010-08-20,10284
303,Imperial Savings and Loan Association,Martinsville,VA,31623,"River Community Bank, N.A.",2010-08-20,10280
304,Independent National Bank,Ocala,FL,27344,"CenterState Bank of Florida, N.A.",2010-08-20,10281
305,Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.",2010-08-20,10279
306,Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,2010-08-13,10277
307,Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,2010-08-06,10276
308,LibertyBank,Eugene,OR,31964,Home Federal Bank,2010-07-30,10273
309,The Cowlitz Bank,Longview,WA,22643,Heritage Bank,2010-07-30,10275
310,Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,2010-07-30,10272
311,Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,2010-07-30,10271
312,Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,2010-07-30,10274
313,Home Valley Bank,Cave Junction,OR,23181,South Valley Bank & Trust,2010-07-23,10266
314,SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,2010-07-23,10267
315,Community Security Bank,New Prague,MN,34486,Roundbank,2010-07-23,10264
316,Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,2010-07-23,10269
317,Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",2010-07-23,10270
318,Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,2010-07-23,10265
319,Sterling Bank,Lantana,FL,32536,IBERIABANK,2010-07-23,10268
320,"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,2010-07-16,10258
321,Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",2010-07-16,10260
322,Turnberry Bank,Aventura,FL,32280,NAFH National Bank,2010-07-16,10261
323,Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,2010-07-16,10259
324,First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,2010-07-16,10263
325,Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,2010-07-16,10262
326,Home National Bank,Blackwell,OK,11636,RCB Bank,2010-07-09,10256
327,USA Bank,Port Chester,NY,58072,New Century Bank,2010-07-09,10254
328,Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,2010-07-09,10257
329,Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",2010-07-09,10255
330,High Desert State Bank,Albuquerque,NM,35279,First American Bank,2010-06-25,10252
331,First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",2010-06-25,10251
332,Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",2010-06-25,10253
333,Nevada Security Bank,Reno,NV,57110,Umpqua Bank,2010-06-18,10250
334,Washington First International Bank,Seattle,WA,32955,East West Bank,2010-06-11,10249
335,TierOne Bank,Lincoln,NE,29341,Great Western Bank,2010-06-04,10248
336,Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,2010-06-04,10246
337,First National Bank,Rosedale,MS,15814,The Jefferson Bank,2010-06-04,10247
338,Sun West Bank,Las Vegas,NV,34785,City National Bank,2010-05-28,10245
